순위,영화명,관람연령,평점,예매율,개봉일
1,스파이더맨: 어크로스 더 유니버스,전체관람가,8.9,26.4,23.06.21
2,귀공자,청소년관람불가,8.7,21.0,23.06.21
3,엘리멘탈,전체관람가,8.8,16.0,23.06.14
4,범죄도시3,15세이상관람가,6.7,13.1,23.05.31
5,플래시,12세이상관람가,8.0,6.6,23.06.14
6,명탐정코난: 하이바라 아이 이야기 ~흑철의 미스터리 트레인,12세이상관람가,10.0,3.8,23.06.23
7,수라,전체관람가,10.0,1.2,23.06.21
8,파이어하트,전체관람가,10.0,1.2,23.06.28
9,트랜스포머: 비스트의 서막,12세이상관람가,7.3,1.0,23.06.06
10,비의도적 연애담 스페셜,12세이상관람가,10.0,0.9,23.06.14
11,인디아나 존스: 운명의 다이얼,12세이상관람가,9.0,0.7,23.06.28
12,가디언즈 오브 갤럭시: Volume 3,12세이상관람가,8.7,0.6,23.05.03
13,인드림,청소년관람불가,9.8,0.5,23.06.21
14,너의 눈을 들여다보면,전체관람가,8.7,0.4,23.06.14
15,어디로 가고 싶으신가요,12세이상관람가,9.6,0.4,23.07.05
16,마마무: 마이콘 더 무비,전체관람가,0.0,0.4,23.06.21
17,"1986 그 여름, 그리고 고등어통조림",12세이상관람가,8.6,0.4,23.07.05
18,남은 인생 10년,12세이상관람가,8.0,0.3,23.05.24
19,엔니오: 더 마에스트로,12세이상관람가,10.0,0.3,23.07.05
20,굿바이,12세이상관람가,9.0,0.3,23.06.21
